Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,categoria_estado_nutricional,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,sexo,15_24,15_24_distribucion_pct,25_34,25_34_distribucion_pct,35_44,35_44_distribucion_pct,45_54,45_54_distribucion_pct,55_64,55_64_distribucion_pct,65_mas,65_mas_distribucion_pct,total_15_mas,total_15_mas_distribucion_pct
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,109713,Centro Comunitario de Salud Familiar La Foresta,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Obesidad,0,0,0,0,0,0,313.0,Mujer,0,,0,,0,,0,,0,,0,,105,33.54632587859425
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,109713,Centro Comunitario de Salud Familiar La Foresta,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Sobrepeso,0,0,0,0,0,0,313.0,Mujer,0,,0,,0,,0,,0,,0,,111,35.46325878594249
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,109715,Centro Comunitario de Salud Familiar Pucara de Lasana,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Bajo peso,0,0,0,0,0,0,330.0,Mujer,0,,0,,0,,0,,0,,0,,13,3.939393939393939
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,109715,Centro Comunitario de Salud Familiar Pucara de Lasana,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Normal,0,0,0,0,0,0,330.0,Mujer,0,,0,,0,,0,,0,,0,,73,22.12121212121212
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,109715,Centro Comunitario de Salud Familiar Pucara de Lasana,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Obesidad,0,0,0,0,0,0,330.0,Mujer,0,,0,,0,,0,,0,,0,,120,36.36363636363637
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,109715,Centro Comunitario de Salud Familiar Pucara de Lasana,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Sobrepeso,0,0,0,0,0,0,330.0,Mujer,0,,0,,0,,0,,0,,0,,124,37.57575757575757
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,200304,Centro Comunitario de Salud Familiar Beato Padre Hurtado,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Bajo peso,0,0,0,0,0,0,329.0,Mujer,0,,0,,0,,0,,0,,0,,4,1.21580547112462
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,200304,Centro Comunitario de Salud Familiar Beato Padre Hurtado,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Normal,0,0,0,0,0,0,329.0,Mujer,0,,0,,0,,0,,0,,0,,96,29.17933130699088
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,200304,Centro Comunitario de Salud Familiar Beato Padre Hurtado,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Obesidad,0,0,0,0,0,0,329.0,Mujer,0,,0,,0,,0,,0,,0,,129,39.209726443769
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,200304,Centro Comunitario de Salud Familiar Beato Padre Hurtado,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Sobrepeso,0,0,0,0,0,0,329.0,Mujer,0,,0,,0,,0,,0,,0,,100,30.3951367781155
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,201091,Centro de Salud Familiar Marta Ugarte Román,Centro de Salud Familiar (CESFAM),Municipal,Bajo peso,0,0,0,0,0,0,3107.0,Mujer,0,,0,,0,,0,,0,,0,,149,4.795622787254587
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,201091,Centro de Salud Familiar Marta Ugarte Román,Centro de Salud Familiar (CESFAM),Municipal,Normal,0,0,0,0,0,0,3107.0,Mujer,0,,0,,0,,0,,0,,0,,773,24.879304795622787
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,201091,Centro de Salud Familiar Marta Ugarte Román,Centro de Salud Familiar (CESFAM),Municipal,Obesidad,0,0,0,0,0,0,3107.0,Mujer,0,,0,,0,,0,,0,,0,,1222,39.33054393305439
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,201091,Centro de Salud Familiar Marta Ugarte Román,Centro de Salud Familiar (CESFAM),Municipal,Sobrepeso,0,0,0,0,0,0,3107.0,Mujer,0,,0,,0,,0,,0,,0,,963,30.994528484068233
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,109301,Centro de Salud Familiar Recoleta,Centro de Salud Familiar (CESFAM),Municipal,Bajo peso,0,0,0,0,0,0,3500.0,Mujer,0,,0,,0,,0,,0,,0,,184,5.257142857142857
