Ano,IdEstablecimiento,establecimiento_denominador,establecimiento_master,servicio_salud_denominador,servicio_salud_master,dependencia_denominador,dependencia_master,nivel_atencion_master,es_aps,sin_match_master
2023,111310,Centro de Salud Familiar Las Mercedes,Centro de Salud Familiar Las Mercedes,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Primario,True,False
2023,111351,Centro de Referencia de Salud de Maipú,Centro de Referencia de Salud de Maipú,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Secundario,False,False
2023,111370,Consultorio Padre Orellana,Centro de Salud Familiar Padre Orellana,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Municipal,Primario,True,False
2023,111372,Centro de Salud Familiar Arauco,Centro de Salud Familiar Arauco,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Municipal,Primario,True,False
2023,111376,Consultorio Dr. Benjamín Viel,Centro de Salud Familiar Matta Sur,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Municipal,Primario,True,False
2023,111378,Centro de Salud Familiar Dr. Iván Insunza,Centro de Salud Familiar Dr. Iván Insunza,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Municipal,Primario,True,False
2023,111379,Centro de Salud Familiar Clotario Blest,Centro de Salud Familiar Clotario Blest,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Municipal,Primario,True,False
2023,111380,Centro de Salud Familiar Dr. Carlos Godoy,Centro de Salud Familiar Dr. Carlos Godoy,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Municipal,Primario,True,False
2023,111381,Centro de Salud Familiar Ignacio Domeyko,Centro de Salud Familiar Ignacio Domeyko,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Municipal,Primario,True,False
2023,111382,Centro de Salud Familiar Presidenta Michelle Bachelet,Centro de Salud Familiar Presidenta Michelle Bachelet,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Municipal,Primario,True,False
2023,111383,Centro de Salud Familiar Dr. Luis Ferrada,Centro de Salud Familiar Dr. Luis Ferrada,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Municipal,Primario,True,False
2023,111400,Posta de Salud Rural Rinconada de Maipú,Centro Comunitario de Salud Familiar Rinconada de Maipú,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Primario,True,False
