Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,profesional,proporcion_profesional_pct,sexo
2023,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Nutricionista,0.826530612244898,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Otro profesional capacitado en EMP y EMPAM,0.6122448979591837,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Tecnico en enfermeria,29.23469387755102,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Enfermera/o,40.23095548519277,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Matrona/on,4.535295213261315,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Medico/a,0.018625442354255912,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Nutricionista,12.702551685602534,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Otro profesional capacitado en EMP y EMPAM,9.089215868876886,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Tecnico en enfermeria,33.423356304712236,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Enfermera/o,28.092330465352948,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Matrona/on,1.9705800721620874,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Medico/a,0.8465167915625867,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Nutricionista,1.285965399204367,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Otro profesional capacitado en EMP y EMPAM,2.6598205199370897,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Tecnico en enfermeria,65.14478675178093,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Enfermera/o,19.696639022261024,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Matrona/on,5.565255347010039,Mujer
