Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,factor_riesgo,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,sexo,15_19,15_19_prevalencia_pct,20_24,20_24_prevalencia_pct,25_29,25_29_prevalencia_pct,30_34,30_34_prevalencia_pct,35_39,35_39_prevalencia_pct,40_44,40_44_prevalencia_pct,45_49,45_49_prevalencia_pct,50_54,50_54_prevalencia_pct,55_59,55_59_prevalencia_pct,60_64,60_64_prevalencia_pct,65_mas,65_mas_prevalencia_pct,total_15_mas,total_15_mas_prevalencia_pct
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,7163,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1536,21.44352924752199
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,7163,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1615,22.546419098143236
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,1043,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,50,4.793863854266539
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,1043,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,95,9.108341323106425
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,1043,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,169,16.2032598274209
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,1043,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,202,19.367209971236818
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,595,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,0.6722689075630253
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,595,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,86,14.453781512605044
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,595,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,119,20.0
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,595,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,130,21.84873949579832
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,1502,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,85,5.659121171770972
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,1502,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,473,31.491344873501998
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,1502,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,502,33.422103861517975
